current_density_A_cm2,value,panel_printed_title,temperature_K,uncertainty_approx,interpolated_gap
0.0000,0.98111,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",298.15,0.02524,False
0.0426,0.93790,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",298.15,0.02524,False
0.0852,0.90843,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",298.15,0.02524,False
0.1278,0.88937,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",298.15,0.02524,False
0.1704,0.87183,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",298.15,0.02524,False
0.2130,0.85480,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",298.15,0.02524,False
0.2556,0.83994,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",298.15,0.02524,False
0.2981,0.82649,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",298.15,0.02524,False
0.3407,0.81138,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",298.15,0.02524,False
0.3833,0.79748,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",298.15,0.02524,False
0.4259,0.78262,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",298.15,0.02524,False
0.4685,0.76816,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",298.15,0.02524,False
0.5111,0.75411,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",298.15,0.02524,False
0.5537,0.73804,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",298.15,0.02524,False
0.5963,0.72318,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",298.15,0.02524,False
0.6389,0.70709,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",298.15,0.02524,False
0.6815,0.69133,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",298.15,0.02524,False
0.7241,0.67323,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",298.15,0.02524,False
0.7667,0.65493,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",298.15,0.02524,False
0.8093,0.63663,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",298.15,0.02524,False
0.8519,0.61621,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",298.15,0.02524,False
0.8944,0.78283,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",298.15,0.02524,False
0.9370,0.76851,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",298.15,0.02524,False
0.9796,0.54488,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",298.15,0.02524,False
1.0222,0.52786,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",298.15,0.02524,False
1.0648,0.52786,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",298.15,0.02524,False
1.1074,0.52786,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",298.15,0.02524,False
1.1500,0.52786,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",298.15,0.02524,False
