current_density_A_cm2,value,panel_printed_title,temperature_K,uncertainty_approx,interpolated_gap
0.0000,0.00000,Power (Watt),298.15,5.259,True
0.0426,368.23663,Power (Watt),298.15,5.259,True
0.0852,736.47326,Power (Watt),298.15,5.259,True
0.1278,1104.70989,Power (Watt),298.15,5.259,True
0.1704,1472.94651,Power (Watt),298.15,5.259,True
0.2130,1841.18314,Power (Watt),298.15,5.259,True
0.2556,2209.41977,Power (Watt),298.15,5.259,True
0.2981,2577.65640,Power (Watt),298.15,5.259,True
0.3407,2879.43612,Power (Watt),298.15,5.259,False
0.3833,3148.80251,Power (Watt),298.15,5.259,False
0.4259,3409.20224,Power (Watt),298.15,5.259,False
0.4685,3656.53336,Power (Watt),298.15,5.259,False
0.5111,3889.95457,Power (Watt),298.15,5.259,False
0.5537,4111.43829,Power (Watt),298.15,5.259,False
0.5963,4315.87115,Power (Watt),298.15,5.259,False
0.6389,4504.51512,Power (Watt),298.15,5.259,False
0.6815,4674.25730,Power (Watt),298.15,5.259,False
0.7241,4818.77839,Power (Watt),298.15,5.259,False
0.7667,4961.97207,Power (Watt),298.15,5.259,False
0.8093,5069.81136,Power (Watt),298.15,5.259,False
0.8519,5146.43434,Power (Watt),298.15,5.259,False
0.8944,5195.37020,Power (Watt),298.15,5.259,True
0.9370,5237.25511,Power (Watt),298.15,5.259,True
0.9796,5279.14001,Power (Watt),298.15,5.259,True
1.0222,5283.19031,Power (Watt),298.15,5.259,False
1.0648,5283.19031,Power (Watt),298.15,5.259,False
1.1074,5283.19031,Power (Watt),298.15,5.259,False
1.1500,5283.19031,Power (Watt),298.15,5.259,False
