current_density_A_cm2,value,panel_printed_title,temperature_K,uncertainty_approx,interpolated_gap
0.0000,55.48860,Efficiency (%),298.15,0.1066,False
0.0426,53.99324,Efficiency (%),298.15,0.1066,False
0.0852,51.77524,Efficiency (%),298.15,0.1066,False
0.1278,50.62115,Efficiency (%),298.15,0.1066,False
0.1704,49.56629,Efficiency (%),298.15,0.1066,False
0.2130,48.64821,Efficiency (%),298.15,0.1066,False
0.2556,47.77325,Efficiency (%),298.15,0.1066,False
0.2981,46.97596,Efficiency (%),298.15,0.1066,False
0.3407,46.17264,Efficiency (%),298.15,0.1066,False
0.3833,45.26059,Efficiency (%),298.15,0.1066,False
0.4259,44.47883,Efficiency (%),298.15,0.1066,False
0.4685,43.69707,Efficiency (%),298.15,0.1066,False
0.5111,42.79406,Efficiency (%),298.15,0.1066,False
0.5537,41.93163,Efficiency (%),298.15,0.1066,False
0.5963,41.06919,Efficiency (%),298.15,0.1066,False
0.6389,40.17915,Efficiency (%),298.15,0.1066,False
0.6815,39.21402,Efficiency (%),298.15,0.1066,False
0.7241,38.22129,Efficiency (%),298.15,0.1066,False
0.7667,37.18241,Efficiency (%),298.15,0.1066,False
0.8093,36.10553,Efficiency (%),298.15,0.1066,False
0.8519,34.91736,Efficiency (%),298.15,0.1066,False
0.8944,33.66450,Efficiency (%),298.15,0.1066,False
0.9370,32.32959,Efficiency (%),298.15,0.1066,False
0.9796,30.86530,Efficiency (%),298.15,0.1066,False
1.0222,29.88599,Efficiency (%),298.15,0.1066,False
1.0648,29.88599,Efficiency (%),298.15,0.1066,False
1.1074,29.88599,Efficiency (%),298.15,0.1066,False
1.1500,29.88599,Efficiency (%),298.15,0.1066,False
