current_density_A_cm2,value,panel_printed_title,temperature_K,uncertainty_approx,interpolated_gap
0.0000,1.01328,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",373.15,0.03472,False
0.0426,0.96951,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",373.15,0.03472,False
0.0852,0.94089,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",373.15,0.03472,False
0.1278,0.92291,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",373.15,0.03472,False
0.1704,0.90492,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",373.15,0.03472,False
0.2130,0.88911,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",373.15,0.03472,False
0.2556,0.87422,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",373.15,0.03472,False
0.2981,0.85915,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",373.15,0.03472,False
0.3407,0.84491,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",373.15,0.03472,False
0.3833,0.83117,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",373.15,0.03472,False
0.4259,0.81599,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",373.15,0.03472,False
0.4685,0.80147,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",373.15,0.03472,False
0.5111,0.78707,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",373.15,0.03472,False
0.5537,0.77205,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",373.15,0.03472,False
0.5963,0.75544,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",373.15,0.03472,False
0.6389,0.73962,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",373.15,0.03472,False
0.6815,0.72276,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",373.15,0.03472,False
0.7241,0.70582,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",373.15,0.03472,False
0.7667,0.68784,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",373.15,0.03472,False
0.8093,0.66856,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",373.15,0.03472,False
0.8519,0.85833,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",373.15,0.03472,False
0.8944,0.88790,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",373.15,0.03472,False
0.9370,0.60227,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",373.15,0.03472,False
0.9796,0.57715,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",373.15,0.03472,False
1.0222,0.56016,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",373.15,0.03472,False
1.0648,0.56016,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",373.15,0.03472,False
1.1074,0.56016,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",373.15,0.03472,False
1.1500,0.56016,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",373.15,0.03472,False
