current_density_A_cm2,value,panel_printed_title,temperature_K,uncertainty_approx,interpolated_gap
0.0000,1.00678,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",298.15,0.0535,False
0.0426,0.96300,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",298.15,0.0535,False
0.0852,0.93439,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",298.15,0.0535,False
0.1278,0.91572,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",298.15,0.0535,False
0.1704,0.89842,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",298.15,0.0535,False
0.2130,0.88103,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",298.15,0.0535,False
0.2556,0.86660,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",298.15,0.0535,False
0.2981,0.85285,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",298.15,0.0535,False
0.3407,0.83744,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",298.15,0.0535,False
0.3833,0.82259,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",298.15,0.0535,False
0.4259,0.80895,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",298.15,0.0535,False
0.4685,0.79421,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",298.15,0.0535,False
0.5111,0.77948,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",298.15,0.0535,False
0.5537,0.76396,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",298.15,0.0535,False
0.5963,0.74878,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",298.15,0.0535,False
0.6389,0.73263,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",298.15,0.0535,False
0.6815,0.71618,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",298.15,0.0535,False
0.7241,0.69824,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",298.15,0.0535,False
0.7667,0.68025,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",298.15,0.0535,False
0.8093,0.66031,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",298.15,0.0535,False
0.8519,1.01323,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",298.15,0.0535,False
0.8944,0.92006,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",298.15,0.0535,False
0.9370,0.59485,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",298.15,0.0535,False
0.9796,0.56866,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",298.15,0.0535,False
1.0222,0.55366,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",298.15,0.0535,False
1.0648,0.55366,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",298.15,0.0535,False
1.1074,0.55366,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",298.15,0.0535,False
1.1500,0.55366,"Activation Loss (Volts) [NOTA: comportamento indica Vcell, ver relatorio]",298.15,0.0535,False
