case,V_at_1_A_cm2,eta_at_1_percent,Pmax_W,j_at_Pmax
T_298,0.5345083865655998,30.276577087701483,5095.561437943488,0.966
T_373,0.5667687855110669,32.10392812671566,5400.994846234929,0.97
