case,current_density_A_cm2,target_voltage_V,model_voltage_V,residual_V
tensao_298K,0.0104803493449781,0.9780918727915195,0.9737477420735107,-0.004344130718008876
tensao_298K,0.0203755458515283,0.9684381625441696,0.9566777940545425,-0.011760368489627138
tensao_298K,0.0302707423580786,0.95513074204947,0.9455252447055209,-0.00960549734394911
tensao_298K,0.0401659388646288,0.9427703180212016,0.9368551839132317,-0.005915134107969844
tensao_298K,0.050061135371179,0.9301625441696112,0.9295576776428872,-0.0006048665267239794
tensao_298K,0.0599563318777292,0.921095406360424,0.9231314004933817,0.0020359941329577413
tensao_298K,0.0698515283842794,0.9152084805653712,0.9173066768515917,0.002098196286220544
tensao_298K,0.0797467248908297,0.910844522968198,0.9119215884779904,0.0010770655097924742
tensao_298K,0.0896419213973799,0.9055547703180212,0.9068712188932648,0.0013164485752436006
tensao_298K,0.0995371179039301,0.9007173144876326,0.902083655551661,0.0013663410640284424
tensao_298K,0.1094323144104803,0.8959010600706714,0.8975074255287385,0.0016063654580671383
tensao_298K,0.1193275109170305,0.8916501766784453,0.8931043928758297,0.0014542161973843948
tensao_298K,0.1292227074235807,0.8876466431095407,0.8888454951169584,0.001198852007417761
tensao_298K,0.139117903930131,0.8836431095406361,0.8847080572371806,0.001064947696544527
tensao_298K,0.1490131004366812,0.8796395759717315,0.8806740307329165,0.0010344547611850219
tensao_298K,0.1589082969432314,0.8756360424028269,0.8767287999017526,0.0010927574989256783
tensao_298K,0.1688034934497816,0.8716325088339223,0.8728603492913304,0.0012278404574080914
tensao_298K,0.1786986899563318,0.8676289752650177,0.8690586686091883,0.001429693344170646
tensao_298K,0.188593886462882,0.8636254416961131,0.8653153181647832,0.0016898764686701373
tensao_298K,0.1984890829694323,0.8596219081272085,0.8616231055064376,0.0020011973792291027
tensao_298K,0.2083842794759825,0.8561837455830389,0.8579758407468008,0.0017920951637618865
tensao_298K,0.2182794759825327,0.8519434628975265,0.854368148643164,0.002424685745637478
tensao_298K,0.2281746724890829,0.8486713780918728,0.8507953223155239,0.002123944223651142
tensao_298K,0.2380698689956331,0.845583038869258,0.8472532079833065,0.001670169114048492
tensao_298K,0.2479650655021834,0.8417243816254418,0.8437381131322695,0.0020137315068277095
tensao_298K,0.2578602620087336,0.8387809187279153,0.8402467326038131,0.0014658138758978367
tensao_298K,0.2677554585152838,0.834982332155477,0.8367760885520998,0.0017937563966228254
tensao_298K,0.277650655021834,0.8318339222614841,0.8333234812452426,0.0014895589837584655
tensao_298K,0.2875458515283843,0.8288904593639577,0.8298864484285787,0.0009959890646210612
tensao_298K,0.2974410480349345,0.8254416961130743,0.8264627315088638,0.0010210353957895713
tensao_298K,0.3073362445414847,0.8219434628975265,0.8230502472173225,0.0011067843197959393
tensao_298K,0.3172314410480349,0.8190000000000001,0.8196470637073293,0.000647063707329254
tensao_298K,0.3271266375545851,0.8149964664310955,0.8162513802670944,0.0012549138359989609
tensao_298K,0.3370218340611354,0.8120530035335689,0.8128615099987402,0.000808506465171277
tensao_298K,0.3469170305676856,0.8084805653710248,0.809475864946557,0.000995299575532238
tensao_298K,0.3568122270742358,0.8051060070671379,0.806092943259031,0.0009869361918931618
tensao_298K,0.366707423580786,0.8021625441696113,0.8027113180487644,0.0005487738791530861
tensao_298K,0.3766026200873362,0.7992190812720849,0.7993296276769681,0.00011054640488328271
tensao_298K,0.3864978165938865,0.7952155477031803,0.7959465672387956,0.0007310195356153848
tensao_298K,0.3963930131004367,0.7922720848056538,0.792560881065316,0.0002887962596621607
tensao_298K,0.4062882096069869,0.788339222614841,0.7891713560896814,0.0008321334748403464
tensao_298K,0.4161834061135371,0.7853250883392227,0.7857768159506506,0.0004517276114279767
tensao_298K,0.4260786026200873,0.7819787985865725,0.7823761157274446,0.0003973171408720999
tensao_298K,0.4359737991266376,0.7783780918727915,0.7789681372168854,0.0005900453440939035
tensao_298K,0.4458689956331877,0.775434628975265,0.7755517846776925,0.00011715570242742945
tensao_298K,0.455764192139738,0.7714840989399293,0.7721259809782963,0.0006418820383670143
tensao_298K,0.4656593886462882,0.768487632508834,0.7686896640940268,0.00020203158519283004
tensao_298K,0.4755545851528384,0.7650176678445231,0.7652417839074349,0.00022411606291183883
tensao_298K,0.4854497816593886,0.7615406360424027,0.7617812992721081,0.00024066322970539566
tensao_298K,0.4953449781659388,0.7585971731448764,0.7583071753058661,-0.00028999783901029197
tensao_298K,0.5052401746724892,0.7545936395759717,0.7548183808838749,0.0002247413079031757
tensao_298K,0.5151353711790394,0.7516501766784452,0.7513138863061479,-0.00033629037229732095
tensao_298K,0.5250305676855895,0.7480565371024736,0.7477926611172298,-0.00026387598524379996
tensao_298K,0.5349257641921398,0.7447031802120141,0.7442536720586799,-0.00044950815333422156
tensao_298K,0.54482096069869,0.7406996466431095,0.7406958811373962,-3.7655057133489933e-06
tensao_298K,0.5547161572052403,0.7374558303886927,0.7371182437948665,-0.00033758659382621126
tensao_298K,0.5646113537117905,0.7337526501766785,0.7335197071642123,-0.0002329430124661247
tensao_298K,0.5745065502183406,0.7305229681978799,0.7298992084034021,-0.0006237597944778184
tensao_298K,0.5844017467248909,0.7268056537102473,0.7262556730943249,-0.0005499806159223741
tensao_298K,0.5942969432314411,0.7229893992932862,0.7225880136985389,-0.0004013855947473388
tensao_298K,0.6041921397379914,0.7198586572438163,0.7188951280614956,-0.0009635291823206771
tensao_298K,0.6140873362445416,0.7158551236749117,0.7151758979578817,-0.0006792257170299409
tensao_298K,0.6239825327510917,0.711851590106007,0.7114291876714629,-0.0004224024345440558
tensao_298K,0.633877729257642,0.7078480565371024,0.7076538426034501,-0.00019421393365226525
tensao_298K,0.6437729257641922,0.704155477031802,0.7038486879039758,-0.0003067891278262236
tensao_298K,0.6536681222707424,0.7003886925795053,0.7000125271217472,-0.00037616545775809307
tensao_298K,0.6635633187772927,0.6968975265017668,0.6961441408673769,-0.0007533856343899803
tensao_298K,0.6734585152838428,0.6928939929328621,0.6922422854862584,-0.0006517074466036998
tensao_298K,0.6833537117903931,0.6897526501766784,0.6883056917371884,-0.0014469584394900536
tensao_298K,0.6932489082969433,0.6855123674911661,0.6843330634732123,-0.0011793040179537417
tensao_298K,0.7031441048034935,0.6808833922261484,0.6803230763214339,-0.0005603159047145034
tensao_298K,0.7130393013100438,0.6768798586572438,0.676274376358734,-0.000605482298509763
