case,current_density_A_cm2,current_A,E_nernst_V,V_act_V,V_ohm_V,V_conc_V,V_cell_V,V_stack_V,P_stack_W,efficiency_percent,temperature_K,air_pressure_atm
T_298,0.0,0.0,1.2278801614079802,0.2443977086788268,0.0,0.00634107396,0.9771413787691533,40.062796529535284,0.0,55.34898426941015,298.15,5.0
T_298,0.004166666666666667,0.9666666666666667,1.2278801614079802,0.2443977086788268,0.0009456813166666668,0.006419512637341504,0.9761172587751452,40.02080760978095,38.68678068945492,55.290974238651096,298.15,5.0
T_298,0.008333333333333333,1.9333333333333333,1.2278801614079802,0.2443977086788268,0.0018913626333333336,0.006498921596080432,0.9750921684997396,39.978778908489325,77.29230588974603,55.232909247483065,298.15,5.0
T_298,0.0125,2.9000000000000004,1.2278801614079802,0.249281434138583,0.0028370439500000006,0.006579312838535311,0.969182370480862,39.736477189715345,115.23578385017451,54.898155930624995,298.15,5.0
T_298,0.016666666666666666,3.8666666666666667,1.2278801614079802,0.2555776513192886,0.0037827252666666673,0.006660698515492577,0.9618590863065323,39.436222538567826,152.48672714912894,54.48333741063153,298.15,5.0
T_298,0.020833333333333332,4.833333333333333,1.2278801614079802,0.2604613767790448,0.004728406583333334,0.006743090928043109,0.9559472871175589,39.19383877181992,189.4368873971296,54.1484707399287,298.15,5.0
T_298,0.025,5.800000000000001,1.2278801614079802,0.26445167102475764,0.005674087900000001,0.006826502529441492,0.950927899953781,38.98804389810502,226.13065460900913,53.864153662373376,298.15,5.0
T_298,0.029166666666666667,6.766666666666667,1.2278801614079802,0.26782541673812155,0.006619769216666667,0.006910945926988273,0.9465240295262037,38.807485210574356,262.5973165915531,53.61470178128783,298.15,5.0
T_298,0.03333333333333333,7.733333333333333,1.2278801614079802,0.27074788820546325,0.007565450533333335,0.006996433883935493,0.9425703887852481,38.645385940195176,298.8576512708427,53.3907526128945,298.15,5.0
T_298,0.0375,8.7,1.2278801614079802,0.2733256907302267,0.00851113185,0.0070829793214158,0.9389603595063377,38.49737473975985,334.92716023591066,53.1862668976112,298.15,5.0
T_298,0.041666666666666664,9.666666666666666,1.2278801614079802,0.2756316136652195,0.009456813166666668,0.007170595320395423,0.9356211392556986,38.36046670948364,370.8178448583418,52.99712083017362,298.15,5.0
T_298,0.04583333333333333,10.633333333333333,1.2278801614079802,0.2777175746931897,0.010402494483333333,0.0072592951236513025,0.9325007971078059,38.23253268142004,406.53926417909975,52.820372846502686,298.15,5.0
T_298,0.05,11.600000000000001,1.2278801614079802,0.27962190791093233,0.011348175800000002,0.007349092137772684,0.9295609855592751,38.11200040793028,442.09920473199134,52.65385079893611,298.15,5.0
T_298,0.05416666666666667,12.566666666666666,1.2278801614079802,0.28137372465414906,0.01229385711666667,0.007439999935187451,0.9267725797019771,37.99767576778106,477.504125481782,52.49590494249645,298.15,5.0
T_298,0.058333333333333334,13.533333333333333,1.2278801614079802,0.2829956536242962,0.013239538433333335,0.007532032256213553,0.9241129370941371,37.88863042085962,512.7594650289668,52.345252723624085,298.15,5.0
T_298,0.0625,14.5,1.2278801614079802,0.2845056333706885,0.014185219750000002,0.007625203011135789,0.9215641052761558,37.78412831632239,547.8698605866746,52.2008772470922,298.15,5.0
T_298,0.06666666666666667,15.466666666666667,1.2278801614079802,0.28591812509163794,0.01513090106666667,0.007719526282308286,0.9191116089673672,37.68357596766206,582.8393082998398,52.06195857824316,298.15,5.0
T_298,0.07083333333333333,16.433333333333334,1.2278801614079802,0.28724495711214343,0.016076582383333336,0.007815016326282988,0.9167436055862205,37.586487829035036,617.6712833238091,51.927825908456825,298.15,5.0
T_298,0.075,17.4,1.2278801614079802,0.28849592761640136,0.0170222637,0.00791168757596447,0.9144502825156142,37.492461583140184,652.3688315466392,51.79792341397895,298.15,5.0
T_298,0.07916666666666666,18.366666666666667,1.2278801614079802,0.28967924420117735,0.017967945016666667,0.008009554642791404,0.9122234175473448,37.40116011944114,686.9346408604023,51.67178535783185,298.15,5.0
T_298,0.08333333333333333,19.333333333333332,1.2278801614079802,0.2908018505513941,0.018913626333333336,0.008108632318945028,0.9100560522043077,37.31229814037662,721.3710973806146,51.54901758554803,298.15,5.0
T_298,0.0875,20.299999999999997,1.2278801614079802,0.29186967332976527,0.01985930765,0.008208935579584905,0.9079422448486301,37.22563203879383,755.6803303875147,51.42928354028086,298.15,5.0
T_298,0.09166666666666666,21.266666666666666,1.2278801614079802,0.2928878115793644,0.020804988966666667,0.008310479585112362,0.9058768812768367,37.14095213235031,789.8642486813164,51.312293534198226,298.15,5.0
T_298,0.09583333333333333,22.23333333333333,1.2278801614079802,0.29386068398961174,0.021750670283333336,0.008413279683461913,0.9038555274515732,37.0580766255145,823.9245703072723,51.197796406650156,298.15,5.0
